Username,Komentar,Timestamp,Likes,Original Text,Public
@SepulangSekolah,Thaksin perlu dibahas juga kah? 🤔,2025-03-26T10:22:30Z,611,Thaksin perlu dibahas juga kah? 🤔,True
@piwchanlpiw,"emg org sipil mana yg bisa menangani troris? menangani pertahanan negara? menangani dewan pertahanan nasional? menangani intelijen negara? menangani sandi negara, setmilpres, lemhanas, narkotika, org sipil mana yg menangani pengamanan laut? org sipil mana yg jadi jaksa agung muda bidang tindak pidana militer? dan uu tni yg lama itu hampir sama aja dg yg revisi, cuma makin diperjelas aja.<br>yakali org sipil disuruh menangani masalah pertahanan dan keamanan negara. makin kocak dong jadinya",2025-03-27T01:32:12Z,0,"emg org sipil mana yg bisa menangani troris? menangani pertahanan negara? menangani dewan pertahanan nasional? menangani intelijen negara? menangani sandi negara, setmilpres, lemhanas, narkotika, org sipil mana yg menangani pengamanan laut? org sipil mana yg jadi jaksa agung muda bidang tindak pidana militer? dan uu tni yg lama itu hampir sama aja dg yg revisi, cuma makin diperjelas aja.
yakali org sipil disuruh menangani masalah pertahanan dan keamanan negara. makin kocak dong jadinya",True
@andrerandomart8306,uda sejelas ini masi ada yg ga paham..?.. btw bang biar konkret bs bahas UU ini kaitannya dgn ORBA di indonesia.. penghilangan orang dll,2025-03-27T01:29:35Z,0,uda sejelas ini masi ada yg ga paham..?.. btw bang biar konkret bs bahas UU ini kaitannya dgn ORBA di indonesia.. penghilangan orang dll,True
@Samsunga31-i7c,Tentara di indonesia ga ada yg perang tp banyak minta nya 😊  .. pada menyesalkan kalian milih yg onoh,2025-03-27T01:28:22Z,1,Tentara di indonesia ga ada yg perang tp banyak minta nya 😊  .. pada menyesalkan kalian milih yg onoh,True
@chandraaden2567,Udah bener gua gak coblos Prabowo 😆,2025-03-27T01:20:12Z,0,Udah bener gua gak coblos Prabowo 😆,True
@arbybimantara2538,"ga ada sejarahnya juga kudeta militer di indonesia berhasil, apalagi indonesia menjadi negara junta militer sangat kecil sekali kemungkinannya",2025-03-27T01:19:08Z,0,"ga ada sejarahnya juga kudeta militer di indonesia berhasil, apalagi indonesia menjadi negara junta militer sangat kecil sekali kemungkinannya",True
@navyanmoko1515,"anti kritik itu dimulai dari narsis, lama lama npd",2025-03-27T01:16:15Z,0,"anti kritik itu dimulai dari narsis, lama lama npd",True
@Netizencritics,Coba tebak siapa pembunuh tan Malaka,2025-03-27T01:11:50Z,0,Coba tebak siapa pembunuh tan Malaka,True
@juardiputra3736,"Mending TNI yg Pegang, Liat noh BAPOL Bnyak yg Benci Rakyat,, bnyak yg Korupsi Klu Ketangkep Bilang nya Oknum Entah Udah Brp kali Kejadian di Bilang Oknum.. <br>TNI dari dulu Merakyat  &amp; Lebih Manusiawi..",2025-03-27T01:09:59Z,0,"Mending TNI yg Pegang, Liat noh BAPOL Bnyak yg Benci Rakyat,, bnyak yg Korupsi Klu Ketangkep Bilang nya Oknum Entah Udah Brp kali Kejadian di Bilang Oknum.. 
TNI dari dulu Merakyat  & Lebih Manusiawi..",True
@niisaa90,"<a href=""https://www.youtube.com/watch?v=sg8Mzx0fZbU&amp;t=777"">12:57</a> kayaknya Koi perlu deep-dive lagi masalah &#39;kesuksesan&#39; Park Chunghee yang timelinenya mirip sama rezim orde baru di Indonesia plus memanasnya persaingan antara US dan Soviet.<br>Jadi nanti ketemu konklusi apakah benar-benar suksesnya industriliasi korsel karena pemimpin yang otoriter dari militer atau sebenernya mirip2 sama Chile yaitu karena pengaruh si Sam.",2025-03-27T01:06:06Z,0,"12:57 kayaknya Koi perlu deep-dive lagi masalah 'kesuksesan' Park Chunghee yang timelinenya mirip sama rezim orde baru di Indonesia plus memanasnya persaingan antara US dan Soviet.
Jadi nanti ketemu konklusi apakah benar-benar suksesnya industriliasi korsel karena pemimpin yang otoriter dari militer atau sebenernya mirip2 sama Chile yaitu karena pengaruh si Sam.",True
@maradan4993,wallahi we&#39;re finished,2025-03-27T01:02:01Z,0,wallahi we're finished,True
@stevanywilliams9832,"Selamat tinggal demokrasi, selamat datang fasisme.",2025-03-27T01:00:51Z,0,"Selamat tinggal demokrasi, selamat datang fasisme.",True
@Hana955,Kapal perang china nampak di lautan Indonesia waspada,2025-03-27T00:58:28Z,0,Kapal perang china nampak di lautan Indonesia waspada,True
@noersindoro8159,"UUD TNI kan udah sah, point&#39; dr sini apa koy? Kenapa jd bahas tentara negara lain?",2025-03-27T00:58:01Z,0,"UUD TNI kan udah sah, point' dr sini apa koy? Kenapa jd bahas tentara negara lain?",True
@cocobabychannel,saya sih gpp karena aku sudah bukan lagi negara yang tidak bisa ditebak dan ga rasional...baik-baik ya masyarakat indonesia,2025-03-27T00:53:03Z,0,saya sih gpp karena aku sudah bukan lagi negara yang tidak bisa ditebak dan ga rasional...baik-baik ya masyarakat indonesia,True
@PatkaBiosy,"KAMI RAKYAT SIPIL INDONESIA🇲🇨 TIDAK MAU DIBODOHI TENTARA INDONESIA🇲🇨KARNA RUU TNI JELAS JELAS BERSIFAT INGIN MEREBUT KEKUASAAN 🔥KAWAL TERUS RUU TNI ,.LAWAAN🔥✊️HIDUP RAKYAT🔥✊️ALLAH HU AKBAR✊️TAKBIR🔥✊️",2025-03-27T00:52:17Z,0,"KAMI RAKYAT SIPIL INDONESIA🇲🇨 TIDAK MAU DIBODOHI TENTARA INDONESIA🇲🇨KARNA RUU TNI JELAS JELAS BERSIFAT INGIN MEREBUT KEKUASAAN 🔥KAWAL TERUS RUU TNI ,.LAWAAN🔥✊️HIDUP RAKYAT🔥✊️ALLAH HU AKBAR✊️TAKBIR🔥✊️",True
@mikaelberry2093,Up,2025-03-27T00:48:57Z,0,Up,True
@oowiewie1181,Pemilih 58% gimana niih tanggapannya. Puassss 😂😂😂,2025-03-27T00:46:20Z,0,Pemilih 58% gimana niih tanggapannya. Puassss 😂😂😂,True
@BACOTFOOTBALL,tinggal tunggu? tiap-tiap provinsi memisahkan diri. 🤣🤣 Negara makin hancur korupsi merajalela+ inflasi parah 😏,2025-03-27T00:42:37Z,0,tinggal tunggu? tiap-tiap provinsi memisahkan diri. 🤣🤣 Negara makin hancur korupsi merajalela+ inflasi parah 😏,True
@IchelMenolakpasrah,Dimana PBB saat situasi kek gini?,2025-03-27T00:41:55Z,0,Dimana PBB saat situasi kek gini?,True
@supriyatinsupriyatin2237,"Tai pemerintahan, Indonesia Gelap. dasar gendut",2025-03-27T00:40:08Z,0,"Tai pemerintahan, Indonesia Gelap. dasar gendut",True
@MochIpank,saya ingin tukaang baso jaadi tukang baso aja jan jadi dwi  fungsi,2025-03-27T00:38:02Z,0,saya ingin tukaang baso jaadi tukang baso aja jan jadi dwi  fungsi,True
@JayKopet,"YG PERLU DIKHAWATIRKAN ITU BUKAN TNI, TAPI KORUPTOR YG HARUS DIBERANTAS. ITU YG DEMO TNI KURANG TEPAT, SEHARUSNYA MAHASEWA DEMO RUU PERAMPASAN ASET KORUPTOR. BIAR MAHASEWA BISA BELAJAR KELUAR NEGERI YG LEBIH BANYAK",2025-03-27T00:37:18Z,0,"YG PERLU DIKHAWATIRKAN ITU BUKAN TNI, TAPI KORUPTOR YG HARUS DIBERANTAS. ITU YG DEMO TNI KURANG TEPAT, SEHARUSNYA MAHASEWA DEMO RUU PERAMPASAN ASET KORUPTOR. BIAR MAHASEWA BISA BELAJAR KELUAR NEGERI YG LEBIH BANYAK",True
@Hansaunders-b1t,terima kasi rezekinya  ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,2025-03-27T00:35:38Z,0,terima kasi rezekinya  ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,True
@Alysasaunders-x8h,Akhirnya yg di tunggu2😁 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,2025-03-27T00:35:37Z,0,Akhirnya yg di tunggu2😁 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,True
@Hartsaunders-o3g,gatot barusan coba langsung jatuh perkalian 1000 langsung aja cari situsnya 🚩Weton88🚩,2025-03-27T00:35:35Z,0,gatot barusan coba langsung jatuh perkalian 1000 langsung aja cari situsnya 🚩Weton88🚩,True
@Bivenssaunders-m2w,Awal kebangkitan cuan pasti di WETON88,2025-03-27T00:35:34Z,0,Awal kebangkitan cuan pasti di WETON88,True
@Granthamsaunders-i4z,"<a href=""https://www.youtube.com/watch?v=sg8Mzx0fZbU&amp;t=2"">0:02</a> Wah keren Weton88 terbaik menang mudah",2025-03-27T00:35:34Z,0,0:02 Wah keren Weton88 terbaik menang mudah,True
@Nickelsaunders-o2z,"Kapan lagi main di situs segacor 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, asli nagih sih",2025-03-27T00:35:34Z,0,"Kapan lagi main di situs segacor 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, asli nagih sih",True
@Groversaunders-y6c,"TS yah tetangga w ada yang jp 10jt di byar ,semenjak itu w main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 lumayan kalau mau cari 50 - 100 an mah gampang",2025-03-27T00:35:34Z,0,"TS yah tetangga w ada yang jp 10jt di byar ,semenjak itu w main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 lumayan kalau mau cari 50 - 100 an mah gampang",True
@Dicksonsaunders-s2m,Sehat selalu dan banyak rezeki Weton88,2025-03-27T00:35:33Z,0,Sehat selalu dan banyak rezeki Weton88,True
